#Ndex,Pokémon,Experience Type,Level Up
1,Bulbasaur,Medium Slow,16
2,Ivysaur,Medium Slow,32
3,Venusaur,Medium Slow,N/A
4,Charmander,Medium Slow,16
5,Charmeleon,Medium Slow,36
6,Charizard,Medium Slow,N/A
7,Squirtle,Medium Slow,16
8,Wartortle,Medium Slow,36
9,Blastoise,Medium Slow,N/A
10,Caterpie,Medium Fast,7
11,Metapod,Medium Fast,10
12,Butterfree,Medium Fast,N/A
13,Weedle,Medium Fast,7
14,Kakuna,Medium Fast,10
15,Beedrill,Medium Fast,N/A
16,Pidgey,Medium Slow,18
17,Pidgeotto,Medium Slow,36
18,Pidgeot,Medium Slow,N/A
19,Rattata,Medium Fast,20
20,Raticate,Medium Fast,N/A
21,Spearow,Medium Fast,20
22,Fearow,Medium Fast,N/A
23,Ekans,Medium Fast,22
24,Arbok,Medium Fast,N/A
25,Pikachu,Medium Fast,N/A
26,Raichu,Medium Fast,N/A
27,Sandshrew,Medium Fast,22
28,Sandslash,Medium Fast,N/A
29,Nidoran♀,Medium Slow,16
30,Nidorina,Medium Slow,N/A
31,Nidoqueen,Medium Slow,N/A
32,Nidoran♂,Medium Slow,16
33,Nidorino,Medium Slow,N/A
34,Nidoking,Medium Slow,N/A
35,Clefairy,Fast,N/A
36,Clefable,Fast,N/A
37,Vulpix,Medium Fast,N/A
38,Ninetales,Medium Fast,N/A
39,Jigglypuff,Fast,N/A
40,Wigglytuff,Fast,N/A
41,Zubat,Medium Fast,22
42,Golbat,Medium Fast,N/A
43,Oddish,Medium Slow,21
44,Gloom,Medium Slow,N/A
45,Vileplume,Medium Slow,N/A
46,Paras,Medium Fast,24
47,Parasect,Medium Fast,N/A
48,Venonat,Medium Fast,31
49,Venomoth,Medium Fast,N/A
50,Diglett,Medium Fast,26
51,Dugtrio,Medium Fast,N/A
52,Meowth,Medium Fast,28
53,Persian,Medium Fast,N/A
54,Psyduck,Medium Fast,33
55,Golduck,Medium Fast,N/A
56,Mankey,Medium Fast,28
57,Primeape,Medium Fast,N/A
58,Growlithe,Slow,N/A
59,Arcanine,Slow,N/A
60,Poliwag,Medium Slow,25
61,Poliwhirl,Medium Slow,N/A
62,Poliwrath,Medium Slow,N/A
63,Abra,Medium Slow,16
64,Kadabra,Medium Slow,N/A
65,Alakazam,Medium Slow,N/A
66,Machop,Medium Slow,28
67,Machoke,Medium Slow,N/A
68,Machamp,Medium Slow,N/A
69,Bellsprout,Medium Slow,21
70,Weepinbell,Medium Slow,N/A
71,Victreebel,Medium Slow,N/A
72,Tentacool,Slow,30
73,Tentacruel,Slow,N/A
74,Geodude,Medium Slow,25
75,Graveler,Medium Slow,N/A
76,Golem,Medium Slow,N/A
77,Ponyta,Medium Fast,40
78,Rapidash,Medium Fast,N/A
79,Slowpoke,Medium Fast,37
80,Slowbro,Medium Fast,N/A
81,Magnemite,Medium Fast,30
82,Magneton,Medium Fast,N/A
83,Farfetch'd,Medium Fast,N/A
84,Doduo,Medium Fast,31
85,Dodrio,Medium Fast,N/A
86,Seel,Medium Fast,34
87,Dewgong,Medium Fast,N/A
88,Grimer,Medium Fast,38
89,Muk,Medium Fast,N/A
90,Shellder,Slow,N/A
91,Cloyster,Slow,N/A
92,Gastly,Medium Slow,25
93,Haunter,Medium Slow,N/A
94,Gengar,Medium Slow,N/A
95,Onix,Medium Fast,N/A
96,Drowzee,Medium Fast,26
97,Hypno,Medium Fast,N/A
98,Krabby,Medium Fast,28
99,Kingler,Medium Fast,N/A
100,Voltorb,Medium Fast,30
101,Electrode,Medium Fast,N/A
102,Exeggcute,Slow,N/A
103,Exeggutor,Slow,N/A
104,Cubone,Medium Fast,28
105,Marowak,Medium Fast,N/A
106,Hitmonlee,Medium Fast,N/A
107,Hitmonchan,Medium Fast,N/A
108,Lickitung,Medium Fast,N/A
109,Koffing,Medium Fast,35
110,Weezing,Medium Fast,N/A
111,Rhyhorn,Slow,42
112,Rhydon,Slow,N/A
113,Chansey,Fast,N/A
114,Tangela,Medium Fast,N/A
115,Kangaskhan,Medium Fast,N/A
116,Horsea,Medium Fast,32
117,Seadra,Medium Fast,N/A
118,Goldeen,Medium Fast,33
119,Seaking,Medium Fast,N/A
120,Staryu,Slow,N/A
121,Starmie,Slow,N/A
122,Mr. Mime,Medium Fast,42
123,Scyther,Medium Fast,N/A
124,Jynx,Medium Fast,N/A
125,Electabuzz,Medium Fast,N/A
126,Magmar,Medium Fast,N/A
127,Pinsir,Slow,N/A
128,Tauros,Slow,N/A
129,Magikarp,Slow,20
130,Gyarados,Slow,N/A
131,Lapras,Slow,N/A
132,Ditto,Medium Fast,N/A
133,Eevee,Medium Fast,N/A
134,Vaporeon,Medium Fast,N/A
135,Jolteon,Medium Fast,N/A
136,Flareon,Medium Fast,N/A
137,Porygon,Medium Fast,N/A
138,Omanyte,Medium Fast,40
139,Omastar,Medium Fast,N/A
140,Kabuto,Medium Fast,40
141,Kabutops,Medium Fast,N/A
142,Aerodactyl,Slow,N/A
143,Snorlax,Slow,N/A
144,Articuno,Slow,N/A
145,Zapdos,Slow,N/A
146,Moltres,Slow,N/A
147,Dratini,Slow,30
148,Dragonair,Slow,55
149,Dragonite,Slow,N/A
150,Mewtwo,Slow,N/A
151,Mew,Medium Slow,N/A
152,Chikorita,Medium Slow,16
153,Bayleef,Medium Slow,32
154,Meganium,Medium Slow,N/A
155,Cyndaquil,Medium Slow,14
156,Quilava,Medium Slow,36
157,Typhlosion,Medium Slow,N/A
158,Totodile,Medium Slow,18
159,Croconaw,Medium Slow,30
160,Feraligatr,Medium Slow,N/A
161,Sentret,Medium Fast,15
162,Furret,Medium Fast,N/A
163,Hoothoot,Medium Fast,20
164,Noctowl,Medium Fast,N/A
165,Ledyba,Fast,18
166,Ledian,Fast,N/A
167,Spinarak,Fast,22
168,Ariados,Fast,N/A
169,Crobat,Medium Fast,N/A
170,Chinchou,Slow,27
171,Lanturn,Slow,N/A
172,Pichu,Medium Fast,N/A
173,Cleffa,Fast,N/A
174,Igglybuff,Fast,N/A
175,Togepi,Fast,N/A
176,Togetic,Fast,N/A
177,Natu,Medium Fast,25
178,Xatu,Medium Fast,N/A
179,Mareep,Medium Slow,15
180,Flaaffy,Medium Slow,30
181,Ampharos,Medium Slow,N/A
182,Bellossom,Medium Slow,N/A
183,Marill,Fast,18
184,Azumarill,Fast,N/A
185,Sudowoodo,Medium Fast,N/A
186,Politoed,Medium Slow,N/A
187,Hoppip,Medium Slow,18
188,Skiploom,Medium Slow,27
189,Jumpluff,Medium Slow,N/A
190,Aipom,Fast,N/A
191,Sunkern,Medium Slow,N/A
192,Sunflora,Medium Slow,N/A
193,Yanma,Medium Fast,N/A
194,Wooper,Medium Fast,20
195,Quagsire,Medium Fast,N/A
196,Espeon,Medium Fast,N/A
